no,type,status,summary,description
ISIS-1728,Improvement,Closed,Rework helloworld and simpleapp to use typesafe queries.,
ISIS-1727,Improvement,Closed,Minor internal refactorings from upgrade to JDK 8,
ISIS-1726,New Feature,Closed,Support DataNucleus meta annotations for @PersistenceCapable.,
ISIS-1725,Improvement,Closed,"Simplify bootstrapping logic by requiring an AppManifest to be supplied, remoev cfg property","implies that the isis.persistor.datanucleus.RegisterEntities.packagePrefix config property is not longer used

// no longer used ...
    public final static String PACKAGE_PREFIX_KEY = ""isis.persistor.datanucleus.RegisterEntities.packagePrefix"";

in ISIS-1276-dn-5-1 branch"
ISIS-1724,Improvement,Closed,Remove JDO applib's IsisJdoSupport,This has been deprecated for a long while
ISIS-1723,Improvement,Closed,Remove JDO applib's Auditable interface and @Auditable annotation,"These have been deprecated for a long while, with equivalents in the regular applib."
ISIS-1722,Dependency upgrade,Closed,Upgrade to Wicket 7.9.0 once available,
ISIS-1721,Bug,Closed,Isis should optionally not override the default values of entities.,"(recreated from ISIS-1082, which has got incorrect commits against it).

In a domain entity I wanted to use a property with a default value:

{code}
private boolean flag = true;
// getter & setter
{code}

Surprisingly Isis re-initialized its value to 'false' after creating the instance by using the setter.

http://isis.apache.org/more-advanced-topics/how-to-07-010-How-to-set-up-the-initial-value-of-a-property-programmatically.html explains the behavior but maybe we should rething whether Isis should initialize the properties at all."
ISIS-1720,Improvement,Closed,"namedXxx() supporting method for dynamic names of actions, properties etc.",
ISIS-1719,Improvement,Closed,QueryResultsCache should be disable when running fixture scripts.,"This is currently done if invoked via the FixtureScripts menu service, but not automatically for integration tests.

Suggest that this can be disabled, in case it starts breaking tests for folk.

see (IsisSessionFactory):

{code}
 @Programmatic
    public void constructServices() {

            ...

            //
            // installFixturesIfRequired
            //
            final FixturesInstallerFromConfiguration fixtureInstaller =
                    new FixturesInstallerFromConfiguration(this);
            fixtureInstaller.installFixtures();

			...
			
}
{code}

and (in FixtureScriptsDefault):

{code}
    public List<FixtureResult> runFixtureScript(
            final FixtureScript fixtureScript,
            @ParameterLayout(
                named = ""Parameters"",
                describedAs =
                        ""Script-specific parameters (if any).  The format depends on the script implementation (eg key=value, CSV, JSON, XML etc)"",
                multiLine = 10)
            @Parameter(optionality = Optionality.OPTIONAL)
            final String parameters) {
        try {
            eventBusService.post(new FixturesInstallingEvent(this));
            return super.runFixtureScript(fixtureScript, parameters);
        } finally {
            eventBusService.post(new FixturesInstalledEvent(this));
        }
    }

{code}

"
ISIS-1718,Dependency upgrade,Closed,Upgrade to Jetty 9.4.3,"having to override this in the incode quickstart and elsewhere, anyway."
ISIS-1717,New Feature,Closed,"To make monitoring applications reliably able to logout, allow session to be logged out just by hitting a simple HTTP GET page (""/logout"")",
ISIS-1716,Bug,Closed,"Framework is silently aborted xactns that have a JDOUserExceptions thrown, resulting in an audit trail that is misleading and confusing behaviour in some circumstances","eg as in Estatio, EST-1634"
ISIS-1715,Bug,Closed,Service priority as defined by @DomainServiceLayout#menuOrder or @DomainService#menuOrder not honored.,"It seems menu contributing service's will not always produce submenus ordered correctly:

I found a case, where menuOrder was not honored while 2 menu-services were both contributing to the same menu. The member sequence for each group was correct, but the order of the groups was wrong.


{code:java}
@DomainService(nature = NatureOfService.VIEW_MENU_ONLY)
@DomainServiceLayout(named=""TODO"", menuOrder=""30.2"")
public class A {

    @Action
    @MemberOrder(sequence = ""1.1"")
    public void getAProperty() {
        
    }

}

@DomainService(nature=NatureOfService.VIEW_MENU_ONLY)
@DomainServiceLayout(named=""TODO"", menuOrder=""30.1"")
public class B {

    @Action
    @MemberOrder(sequence = ""1.1"")
    public void getBProperty() {
        
    }

}
{code}

Menu group B should be positioned above group A, but it sometimes is not.
"
ISIS-1714,Bug,Closed,AppManifestAbstract#withConfigurationProperty overwrites value set by -D system property.,
ISIS-1713,Bug,Closed,Revert to Wicket 7.7.0 (issue with Wicket filestore filling up),due to bug in Wicket 7.8.0
ISIS-1712,Task,Closed,1.15.1 release activities,
ISIS-1711,Bug,Closed,Reference panel that returns choices not same as current field tramples over.,
ISIS-1710,Bug,Closed,AppManifestAbstract#withAdditionalServices replaces rather than appends.,"Unlike withAdditionalModules, that appends."
ISIS-1709,Bug,Closed,[INVALID] Inconsistent handling of commands vs auditing for objects implementing HasTransactionId,"Noticed that if 

ApplicationUser#updateEmailAddress(...)

with 

isis.services.audit.objects=none
isis.services.command.actions=none

then  do get a Command persisted, but don't get any audit records persisted.

The auditing behaviour is correct, but the command behaviour is wrong.

What seems to happen is that no CommandFacet is installed (ActionAnnotationFacetFactory#processCommand), and then in the ObjectMemberAbstract because there is no command facet it defaults to 

""// if no facet, assume do want to execute right now, but only persist (eventually) if hinted.""

My guess is that the hinting does occur (PersistenceSession#completeCommandFromInteractionAndClearDomainEvents as objects are dirtied."
ISIS-1708,Documentation,Closed,Broken Links according to W3C checker,"According to https://validator.w3.org/checklink?uri=https%3A%2F%2Fisis.apache.org%2F&summary=on&hide_type=all&recursive=on&depth=3&cookie=nochanges&check=Check 
there are some 404 errors, see attachment.

grtnx -j"
ISIS-1707,Improvement,Closed,Suppress mandatory red-star on read-only properties,"Mandatory red-star indicator isn't needed when the user cannot change a property value. 

For example if the following is used: 
@DomainObject(objectType = ""XXX"", nature = Nature.VIEW_MODEL, editing = Editing.DISABLED)

It seems a View Model will by default have all mandatory properties ( @Column(allowsNull=""false"")?), so the class level attribute 'editing = Editing.DISABLED' is useful to suppress that."
ISIS-1706,Improvement,Closed,Add 'username' config parameter to email service,"Currently the EmailService requires two configuration parameters:

    isis.service.email.sender.address
    isis.service.email.sender.password

with three optional:

    isis.service.email.sender.hostname
    isis.service.email.port
    isis.service.email.tls.enabled

Another optional one is needed:

    isis.service.email.sender.username

Currently when logging on to an email server the isis.service.email.sender.address value is used as an account username, in addition to also being used as the 'sent-by' email address, if you don't have a choice as to the username this is problematic, such as with Amazon Simple Email Service (SES).

With the additional config parameter, when present this value should override the isis.service.email.sender.address value as the account username, when not present the present arrangement should be used.





"
ISIS-1705,Bug,Closed,Addon module isis-module-settings is not working after upgrade to Isis 1.15.0,"Here the mail thread describing the issue: https://www.mail-archive.com/users@isis.apache.org/msg05286.html 


h1. How to reproduce
* Integrate addon with simpleapp
* Try to create an Application Settings ""New String""


Exception
{code}
07:45:49,678  [RequestCycleExtra    qtp942986815-17 WARN ]  Handling the
following exception
org.apache.wicket.WicketRuntimeException: Method onRequest of interface
org.apache.wicket.behavior.IBehaviorListener targeted at
org.apache.wicket.ajax.markup.html.form.AjaxButton$1@302b1c47 on component
[IndicatingAjaxButton [Component id = okButton]] threw an exception
at
org.apache.wicket.RequestListenerInterface.internalInvoke(RequestListenerInterface.java:268)
at
org.apache.wicket.RequestListenerInterface.invoke(RequestListenerInterface.java:241)
at
org.apache.wicket.core.request.handler.ListenerInterfaceRequestHandler.invokeListener(ListenerInterfaceRequestHandler.java:248)
at
org.apache.wicket.core.request.handler.ListenerInterfaceRequestHandler.respond(ListenerInterfaceRequestHandler.java:234)
at
org.apache.wicket.request.cycle.RequestCycle$HandlerExecutor.respond(RequestCycle.java:895)
at
org.apache.wicket.request.RequestHandlerStack.execute(RequestHandlerStack.java:64)
at
org.apache.wicket.request.cycle.RequestCycle.execute(RequestCycle.java:265)
at
org.apache.wicket.request.cycle.RequestCycle.processRequest(RequestCycle.java:222)
at
org.apache.wicket.request.cycle.RequestCycle.processRequestAndDetach(RequestCycle.java:293)
at
org.apache.wicket.protocol.http.WicketFilter.processRequestCycle(WicketFilter.java:261)
at
org.apache.wicket.protocol.http.WicketFilter.processRequest(WicketFilter.java:203)
at
org.apache.wicket.protocol.http.WicketFilter.doFilter(WicketFilter.java:284)
at
org.eclipse.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1676)
at
org.apache.isis.core.webapp.diagnostics.IsisLogOnExceptionFilter.doFilter(IsisLogOnExceptionFilter.java:52)
at
org.eclipse.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1676)
at
org.apache.shiro.web.servlet.AbstractShiroFilter.executeChain(AbstractShiroFilter.java:449)
at
org.apache.shiro.web.servlet.AbstractShiroFilter$1.call(AbstractShiroFilter.java:365)
at
org.apache.shiro.subject.support.SubjectCallable.doCall(SubjectCallable.java:90)
at
org.apache.shiro.subject.support.SubjectCallable.call(SubjectCallable.java:83)
at
org.apache.shiro.subject.support.DelegatingSubject.execute(DelegatingSubject.java:383)
at
org.apache.shiro.web.servlet.AbstractShiroFilter.doFilterInternal(AbstractShiroFilter.java:362)
at
org.apache.shiro.web.servlet.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:125)
at
org.eclipse.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1668)
at
org.eclipse.jetty.servlet.ServletHandler.doHandle(ServletHandler.java:581)
at
org.eclipse.jetty.server.handler.ScopedHandler.handle(ScopedHandler.java:143)
at
org.eclipse.jetty.security.SecurityHandler.handle(SecurityHandler.java:548)
at
org.eclipse.jetty.server.session.SessionHandler.doHandle(SessionHandler.java:226)
at
org.eclipse.jetty.server.handler.ContextHandler.doHandle(ContextHandler.java:1180)
at org.eclipse.jetty.servlet.ServletHandler.doScope(ServletHandler.java:511)
at
org.eclipse.jetty.server.session.SessionHandler.doScope(SessionHandler.java:185)
at
org.eclipse.jetty.server.handler.ContextHandler.doScope(ContextHandler.java:1112)
at
org.eclipse.jetty.server.handler.ScopedHandler.handle(ScopedHandler.java:141)
at
org.eclipse.jetty.server.handler.HandlerWrapper.handle(HandlerWrapper.java:134)
at org.eclipse.jetty.server.Server.handle(Server.java:524)
at org.eclipse.jetty.server.HttpChannel.handle(HttpChannel.java:319)
at
org.eclipse.jetty.server.HttpConnection.onFillable(HttpConnection.java:253)
at
org.eclipse.jetty.io.AbstractConnection$ReadCallback.succeeded(AbstractConnection.java:273)
at org.eclipse.jetty.io.FillInterest.fillable(FillInterest.java:95)
at
org.eclipse.jetty.io.SelectChannelEndPoint$2.run(SelectChannelEndPoint.java:93)
at
org.eclipse.jetty.util.thread.strategy.ExecuteProduceConsume.executeProduceConsume(ExecuteProduceConsume.java:303)
at
org.eclipse.jetty.util.thread.strategy.ExecuteProduceConsume.produceConsume(ExecuteProduceConsume.java:148)
at
org.eclipse.jetty.util.thread.strategy.ExecuteProduceConsume.run(ExecuteProduceConsume.java:136)
at
org.eclipse.jetty.util.thread.QueuedThreadPool.runJob(QueuedThreadPool.java:671)
at
org.eclipse.jetty.util.thread.QueuedThreadPool$2.run(QueuedThreadPool.java:589)
at java.lang.Thread.run(Thread.java:745)
Caused by: java.lang.reflect.InvocationTargetException
at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
at
sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
at
sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
at java.lang.reflect.Method.invoke(Method.java:498)
at
org.apache.wicket.RequestListenerInterface.internalInvoke(RequestListenerInterface.java:258)
... 44 more
Caused by: java.lang.RuntimeException: java.lang.NumberFormatException: For
input string: ""dd""
at
org.apache.isis.core.metamodel.adapter.mgr.AdapterManager$ConcurrencyChecking.executeWithConcurrencyCheckingDisabled(AdapterManager.java:90)
at
org.apache.isis.viewer.wicket.ui.actionresponse.ActionResultResponseType.toEntityPage(ActionResultResponseType.java:159)
at
org.apache.isis.viewer.wicket.ui.actionresponse.ActionResultResponseType.access$200(ActionResultResponseType.java:46)
at
org.apache.isis.viewer.wicket.ui.actionresponse.ActionResultResponseType$1.interpretResult(ActionResultResponseType.java:51)
at
org.apache.isis.viewer.wicket.ui.actionresponse.ActionResultResponseType.determineAndInterpretResult(ActionResultResponseType.java:178)
at
org.apache.isis.viewer.wicket.ui.components.actions.ActionFormExecutorStrategy.redirectTo(ActionFormExecutorStrategy.java:79)
at
org.apache.isis.viewer.wicket.ui.panels.FormExecutorDefault.redirectTo(FormExecutorDefault.java:520)
at
org.apache.isis.viewer.wicket.ui.panels.FormExecutorDefault.executeAndProcessResults(FormExecutorDefault.java:166)
at
org.apache.isis.viewer.wicket.ui.panels.PromptFormAbstract.onOkSubmittedOf(PromptFormAbstract.java:228)
at
org.apache.isis.viewer.wicket.ui.panels.PromptFormAbstract.access$000(PromptFormAbstract.java:60)
at
org.apache.isis.viewer.wicket.ui.panels.PromptFormAbstract$1.onSubmit(PromptFormAbstract.java:122)
at
org.apache.wicket.ajax.markup.html.form.AjaxButton$1.onSubmit(AjaxButton.java:113)
at
org.apache.wicket.ajax.form.AjaxFormSubmitBehavior$AjaxFormSubmitter.onSubmit(AjaxFormSubmitBehavior.java:215)
at org.apache.wicket.markup.html.form.Form.delegateSubmit(Form.java:1307)
at org.apache.wicket.markup.html.form.Form.process(Form.java:976)
at
org.apache.isis.viewer.wicket.ui.panels.FormAbstract.process(FormAbstract.java:77)
at org.apache.wicket.markup.html.form.Form.onFormSubmitted(Form.java:797)
at
org.apache.wicket.ajax.form.AjaxFormSubmitBehavior.onEvent(AjaxFormSubmitBehavior.java:171)
at
org.apache.wicket.ajax.AjaxEventBehavior.respond(AjaxEventBehavior.java:155)
at
org.apache.wicket.ajax.AbstractDefaultAjaxBehavior.onRequest(AbstractDefaultAjaxBehavior.java:601)
... 49 more
Caused by: java.lang.NumberFormatException: For input string: ""dd""
at
java.lang.NumberFormatException.forInputString(NumberFormatException.java:65)
at java.lang.Integer.parseInt(Integer.java:580)
at java.lang.Integer.parseInt(Integer.java:615)
at
org.isisaddons.module.settings.dom.SettingAbstract.parseValueAsInt(SettingAbstract.java:89)
at
org.isisaddons.module.settings.dom.SettingAbstract.getValueAsInt(SettingAbstract.java:147)
at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
at
sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
at
sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
at java.lang.reflect.Method.invoke(Method.java:498)
at
org.apache.isis.core.commons.lang.MethodExtensions.invoke(MethodExtensions.java:53)
at
org.apache.isis.core.commons.lang.MethodExtensions.invoke(MethodExtensions.java:47)
at
org.apache.isis.core.metamodel.adapter.ObjectAdapter$InvokeUtils.invoke(ObjectAdapter.java:373)
at
org.apache.isis.core.metamodel.facets.properties.accessor.PropertyAccessorFacetViaAccessor.getProperty(PropertyAccessorFacetViaAccessor.java:76)
at
org.apache.isis.core.metamodel.specloader.specimpl.OneToOneAssociationDefault.get(OneToOneAssociationDefault.java:146)
at
org.apache.isis.viewer.wicket.model.models.ScalarModel$Kind$1.reset(ScalarModel.java:293)
at
org.apache.isis.viewer.wicket.model.models.ScalarModel$Kind$1.init(ScalarModel.java:283)
at
org.apache.isis.viewer.wicket.model.models.ScalarModel.init(ScalarModel.java:683)
at
org.apache.isis.viewer.wicket.model.models.ScalarModel.<init>(ScalarModel.java:677)
at
org.apache.isis.viewer.wicket.model.models.EntityModel.getPropertyModel(EntityModel.java:357)
at
org.apache.isis.viewer.wicket.ui.components.entity.fieldset.PropertyGroup.addPropertyToForm(PropertyGroup.java:204)
at
org.apache.isis.viewer.wicket.ui.components.entity.fieldset.PropertyGroup.buildGui(PropertyGroup.java:104)
at
org.apache.isis.viewer.wicket.ui.components.entity.fieldset.PropertyGroup.<init>(PropertyGroup.java:78)
at
org.apache.isis.viewer.wicket.ui.components.layout.bs3.col.Col.buildGui(Col.java:243)
at
org.apache.isis.viewer.wicket.ui.components.layout.bs3.col.Col.<init>(Col.java:79)
at
org.apache.isis.viewer.wicket.ui.components.layout.bs3.row.Row.buildGui(Row.java:69)
at
org.apache.isis.viewer.wicket.ui.components.layout.bs3.row.Row.<init>(Row.java:53)
at
org.apache.isis.viewer.wicket.ui.components.layout.bs3.BS3GridPanel.buildGui(BS3GridPanel.java:53)
at
org.apache.isis.viewer.wicket.ui.components.layout.bs3.BS3GridPanel.<init>(BS3GridPanel.java:42)
at
org.apache.isis.viewer.wicket.ui.components.entity.selector.links.EntityLinksSelectorPanelFactory.createComponent(EntityLinksSelectorPanelFactory.java:57)
at
org.apache.isis.viewer.wicket.ui.ComponentFactoryAbstract.createComponent(ComponentFactoryAbstract.java:98)
at
org.apache.isis.viewer.wicket.viewer.registries.components.ComponentFactoryRegistryDefault.createComponent(ComponentFactoryRegistryDefault.java:121)
at
org.apache.isis.viewer.wicket.viewer.registries.components.ComponentFactoryRegistryDefault.addOrReplaceComponent(ComponentFactoryRegistryDefault.java:106)
at
org.apache.isis.viewer.wicket.ui.pages.PageAbstract.addComponent(PageAbstract.java:404)
at
org.apache.isis.viewer.wicket.ui.pages.PageAbstract.addChildComponents(PageAbstract.java:399)
at
org.apache.isis.viewer.wicket.ui.pages.entity.EntityPage.buildPage(EntityPage.java:182)
at
org.apache.isis.viewer.wicket.ui.pages.entity.EntityPage.<init>(EntityPage.java:115)
at
org.apache.isis.viewer.wicket.ui.pages.entity.EntityPage.<init>(EntityPage.java:83)
at
org.apache.isis.viewer.wicket.ui.pages.entity.EntityPage.<init>(EntityPage.java:95)
at
org.apache.isis.viewer.wicket.ui.actionresponse.ActionResultResponseType$9.call(ActionResultResponseType.java:162)
at
org.apache.isis.viewer.wicket.ui.actionresponse.ActionResultResponseType$9.call(ActionResultResponseType.java:160)
at
org.apache.isis.core.metamodel.adapter.mgr.AdapterManager$ConcurrencyChecking.executeWithConcurrencyCheckingDisabled(AdapterManager.java:88)
... 68 more
07:45:49,684  [RequestCycleExtra    qtp942986815-17 WARN ]
{code}


Here the fork with simpleapp and addon:
https://github.com/niv0/isis/tree/simpleapp-with-settings-addon


"
